keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
παρτσακλοί,0.875,0.0,1.0,0.4375,0.4375,0.0,0.0,0.0,0.3125
συναγωνιζόμενες,0.25,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.3125
σύντροφο,0.5,0.75,0.25,0.0,0.0625,0.0,0.4375,0.0,0.25
κρυώνω,0.5,0.0,1.0,0.0625,0.125,0.1875,0.0,0.1875,0.3125
εγκεφαλικότερη,0.25,0.0,0.5,0.1875,0.1875,0.0625,0.0,0.0625,0.25
ζωόφιλή,0.625,0.75,0.25,0.0625,0.125,0.0,0.375,0.0625,0.25
μελαγχολικότατε,0.75,0.0,1.0,0.0,0.125,0.0,0.0,0.5625,0.125
δράστις,0.25,0.0,0.5,0.1875,0.1875,0.25,0.0,0.0,0.125
πλακώναμε,0.625,0.0,1.0,0.5,0.25,0.0,0.0,0.375,0.25
στρατιωτάκια,0.625,0.0,0.75,0.25,0.3125,0.0,0.0,0.0,0.1875
θερμοκέφαλων,0.875,0.5,1.0,0.375,0.3125,0.25,0.1875,0.125,0.3125
θορύβων,0.5,0.0,1.0,0.0625,0.3125,0.375,0.0,0.0,0.375
